nominal_head_form,nominal_head_upos,nominal_head_deprel,head_is_plural,modifier_is_plural,nominal_head_ī,nominal_head_consonant_ending,modifier_consonant_ending,modifier_form,modifier_upos,modifier_deprel,distance,position,np_depth,num_dependents_head,num_dependents_modifier,has_anchor_dependent,modifier_is_propn,ezafe_label,relative_position_in_sent,head_feats,modifier_feats,nmod_count,amod_count,ezafe_like_lemma_between
sāl,NOUN,obl,0,0,0,1,1,yazdgerd,PROPN,nmod,3,1,6,4,2,0,1,0,1.0,False,False,1,0,0
yazdgerd,PROPN,nmod,0,0,0,1,0,bay,NOUN,nmod,0,2,5,2,1,0,0,0,0.0,False,False,1,0,0
yazdgerd,PROPN,nmod,0,0,0,1,1,šāh,NOUN,appos,1,1,5,2,3,0,0,1,0.0,False,False,1,0,0
šāh,NOUN,appos,0,1,0,1,1,šāhān,NOUN,nmod,0,2,4,3,0,0,0,0,0.0,False,False,1,0,0
nāfag,NOUN,conj:appos,0,0,0,1,0,husraw,PROPN,nmod,1,1,3,1,4,0,1,1,0.0,False,False,1,0,0
husraw,PROPN,nmod,0,0,0,0,1,šāh,NOUN,appos,1,1,2,4,2,1,0,1,0.0,False,False,1,0,0
husraw,PROPN,nmod,0,0,0,0,1,ohrmazdān,PROPN,nmod,2,1,2,4,1,1,1,1,0.0,False,False,1,0,0
šāh,NOUN,appos,0,1,0,1,1,šāhān,NOUN,nmod,0,2,1,2,0,0,0,0,0.0,False,False,1,0,0
ēn,PRON,obj,0,0,0,1,1,azabarnibišt,ADJ,amod,1,1,3,3,1,0,0,0,0.2,False,True,0,1,0
spandyād,PROPN,nsubj,0,0,0,1,1,hērbed,NOUN,nmod,0,2,2,2,0,0,0,0,0.4,False,False,2,0,0
spandyād,PROPN,nsubj,0,0,0,1,1,farroxburzēn,PROPN,nmod,0,1,2,2,1,0,1,1,0.4,False,False,2,0,0
mihrxwaršēd,PROPN,nsubj,0,0,0,1,1,ādurmahān,PROPN,nmod,0,1,2,1,1,0,1,1,0.25,False,False,1,0,0
mānuščihr,PROPN,obl,0,0,0,1,1,anōšagruwān,ADJ,amod,0,2,1,3,0,0,0,0,0.5,False,False,1,1,0
mānuščihr,PROPN,obl,0,0,0,1,1,ǰuwānǰamān,PROPN,nmod,0,1,1,3,0,0,1,0,0.5,False,False,1,1,0
passox,NOUN,obj,0,0,0,1,1,=iš,PRON,nmod,0,2,1,2,0,0,0,0,1.0,False,False,1,0,0
dādār,NOUN,nmod,0,0,0,1,1,ohrmazd,PROPN,appos,0,1,5,5,0,0,1,0,0.0,True,False,1,0,0
dādār,NOUN,nmod,0,1,0,1,1,wispān,PRON,nmod,1,1,5,5,0,0,0,0,0.0,True,False,1,0,0
yazadān,NOUN,conj:nmod,1,1,0,1,1,mēnōyān,ADJ,nmod,0,1,3,3,1,0,0,1,0.0,False,False,1,0,0
yazadān,NOUN,conj:nmod,1,1,0,1,1,gētīyān,ADJ,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
dahišn,NOUN,obl,0,0,0,1,1,xwēš,PRON,nmod,0,1,1,2,0,0,0,0,1.0,True,False,1,0,0
hudēnān,NOUN,iobj,1,1,0,1,1,pursīdārān,NOUN,nmod,1,1,5,2,3,0,0,1,0.25,False,True,1,0,1
pursīdārān,NOUN,nmod,1,0,0,1,1,ēd,PRON,nmod,0,2,4,3,0,0,0,0,0.0,True,False,2,0,0
pursīdārān,NOUN,nmod,1,0,0,1,1,nērōg,NOUN,nmod,2,1,4,3,6,0,0,0,0.0,True,False,2,0,0
nērōg,NOUN,nmod,0,0,0,1,1,stāyišnīg,ADJ,amod,0,2,3,6,0,0,0,0,0.0,False,False,1,1,0
nērōg,NOUN,nmod,0,0,0,1,1,čihr,NOUN,nmod,0,1,3,6,1,0,0,1,0.0,False,False,1,1,0
zōr,NOUN,conj:nmod,0,1,0,1,1,ǰawāhir,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
daxšag,NOUN,conj:nmod,0,0,0,1,1,xrad,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
nišān,NOUN,conj:nmod,0,0,0,1,1,hunar,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
pursišn,NOUN,obl,0,1,0,1,0,kirbaguskārišnīhā,NOUN,nmod,2,2,3,1,2,0,0,0,0.75,True,False,1,0,0
mānuščihr,PROPN,obl,0,0,0,1,1,ǰuwānǰamān,PROPN,nmod,0,1,2,2,1,0,1,1,1.0,False,False,1,0,0
nāmag,NOUN,obl,0,0,0,1,1,pursišnīg,ADJ,amod,0,2,1,3,0,1,0,0,0.42857142857142855,False,False,0,1,0
ayāsišn,NOUN,obl,0,0,0,1,1,hamwēnišnīh,NOUN,nmod,1,1,3,2,6,0,0,1,1.0,True,True,1,0,0
hamwēnišnīh,NOUN,nmod,0,0,0,1,1,man,PRON,nmod,2,1,2,6,1,0,0,1,0.0,True,False,1,0,0
dēndōstīh,NOUN,conj:nmod,0,0,0,1,1,xwad,PRON,nmod,0,1,1,2,0,0,0,0,0.0,False,False,1,0,0
bandag,NOUN,acl:relcl,0,1,0,1,1,yazadān,NOUN,nmod,0,2,6,7,0,0,0,0,0.0,True,False,1,0,0
kōxšišn,NOUN,obl,0,0,0,1,1,druz,NOUN,nmod,0,1,2,2,1,0,0,1,0.14285714285714285,True,False,1,0,0
āstawānīh,NOUN,obl,0,0,0,1,1,wehdēn,NOUN,nmod,1,1,3,2,3,0,0,1,0.2857142857142857,False,False,1,0,0
wehdēn,NOUN,nmod,0,0,0,1,1,mazdēsn,ADJ,amod,0,1,2,3,1,0,0,1,0.0,False,False,0,1,0
rāh,NOUN,obl,0,0,0,1,1,ahlāyīh,NOUN,nmod,0,2,2,4,1,1,0,1,0.42857142857142855,False,False,1,0,0
gāh,NOUN,obl,0,0,0,1,1,axwān,NOUN,nmod,3,1,3,2,4,0,0,1,0.5714285714285714,False,False,1,0,0
axwān,NOUN,nmod,0,0,0,1,1,pāšom,ADJ,amod,0,2,2,4,1,1,0,1,0.0,False,False,0,1,0
hāzišn,NOUN,obl,0,0,0,1,1,frašegird,NOUN,nmod,4,1,4,2,3,0,0,1,0.7142857142857143,True,False,1,0,0
axwān,NOUN,nmod,0,0,0,1,1,pāšom,ADJ,amod,0,2,2,2,1,1,0,1,0.0,False,False,0,1,0
frašegird,NOUN,nmod,0,0,0,1,1,axwān,NOUN,nmod,0,2,3,3,2,0,0,0,0.0,False,False,1,0,0
hamwēnišnīh,NOUN,nsubj,0,1,0,1,1,=imān,PRON,nmod,1,2,2,4,0,1,0,0,0.8571428571428571,True,False,1,0,0
kirbag,NOUN,ccomp,0,0,0,1,1,waxšišnīgtar,ADJ,amod,1,1,4,5,2,0,0,1,0.0,False,False,0,1,0
sāmān,NOUN,nmod,0,0,0,1,1,pāyag,NOUN,nmod,1,1,2,2,1,0,0,0,0.0,False,False,1,0,0
pāyag,NOUN,nmod,0,0,0,1,1,meh,ADJ,amod,0,2,1,1,0,0,0,0,0.0,False,False,0,1,0
nigerišn,NOUN,nmod,0,0,0,1,1,purrdōstīh,NOUN,nmod,0,2,2,2,0,0,0,0,0.0,True,False,2,0,0
nigerišn,NOUN,nmod,0,0,0,1,1,hučašmīh,NOUN,nmod,1,1,2,2,2,0,0,1,0.0,True,False,2,0,0
rāh,NOUN,conj,0,0,0,1,1,spāsdārīh,NOUN,nmod,1,1,2,4,2,0,0,1,0.0,False,False,1,0,0
rāh,NOUN,nsubj,0,0,0,1,1,dānistan,NOUN,nmod,2,2,3,1,2,0,0,0,0.5,False,True,1,0,0
dōšāramīh,NOUN,obl,0,1,0,1,1,ašmāh,PRON,nmod,0,2,1,2,0,0,0,0,0.8333333333333334,False,False,1,0,0
mādagwarīh,NOUN,conj,0,0,0,1,1,rāstīh,NOUN,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
mēnōymardān,NOUN,obl,1,0,0,1,1,hunar,NOUN,nmod,1,1,3,4,3,0,0,0,1.0,False,False,1,0,0
hunar,NOUN,nmod,0,1,0,1,1,=šān,PRON,nmod,0,1,2,3,0,0,0,0,0.0,False,False,1,0,0
kōxšīdārīh,NOUN,obl,0,0,0,1,1,škeft,ADJ,amod,0,2,4,6,0,0,0,0,0.16666666666666666,False,False,1,1,0
kōxšīdārīh,NOUN,obl,0,0,0,1,1,druz,NOUN,nmod,0,1,4,6,1,0,0,1,0.16666666666666666,False,False,1,1,0
wišōbišn,NOUN,conj,0,0,0,1,1,garān,ADJ,amod,0,2,1,1,0,0,0,0,0.0,True,False,0,1,0
xwābarīh,NOUN,obl,0,1,0,1,1,yazadān,NOUN,nmod,0,2,1,2,0,0,0,0,0.5,False,False,1,0,0
dēnīgbedān,NOUN,conj,1,0,0,1,1,kustag,NOUN,nmod,0,1,2,2,2,0,0,1,0.0,False,True,1,0,0
mēnōymardān,NOUN,conj,1,0,0,1,1,ōšmurdmānsr,ADJ,amod,0,1,3,1,5,0,0,0,0.0,False,False,0,1,0
dādestān,NOUN,obl,0,0,0,1,1,šnāxtan,NOUN,nmod,0,1,2,4,2,0,0,0,1.0,False,True,1,0,0
xwašmenišnīh,NOUN,obl,0,0,0,1,1,ān,PRON,nmod,1,1,3,1,2,0,0,0,0.75,True,False,1,0,0
ān,PRON,nmod,0,0,0,1,1,man,PRON,nmod,0,1,2,2,1,0,0,1,0.0,False,False,1,0,0
paymān,NOUN,nsubj,0,0,0,1,1,dōstīh,NOUN,nmod,0,1,3,2,1,0,0,0,1.0,False,False,1,0,0
dastwarīh,NOUN,obl,0,0,0,1,1,kišwar,NOUN,nmod,0,2,3,4,0,0,0,0,0.5,False,False,1,0,0
ēkīh,NOUN,conj,0,0,0,1,1,dudīgarīh,NOUN,nmod,1,1,2,2,2,0,0,1,0.0,False,False,1,0,0
wurrōyišnīh,NOUN,obl,0,0,0,1,1,dagr,ADJ,amod,0,2,2,3,1,1,0,1,0.4,True,False,0,1,0
stāyišn,NOUN,nsubj,0,0,0,1,1,sālār,NOUN,nmod,0,1,3,2,3,1,0,1,0.8,True,True,1,0,0
sālār,NOUN,nmod,0,1,0,1,1,=imān,PRON,nmod,0,1,2,3,0,0,0,0,0.0,True,False,1,1,0
sālār,NOUN,nmod,0,0,0,1,1,hāzag,ADJ,amod,2,1,2,3,1,0,0,0,0.0,True,False,1,1,0
wimand,NOUN,acl:relcl,0,0,0,1,1,pāyag,NOUN,nmod,2,2,3,3,2,0,0,0,0.0,False,False,1,0,0
ērīh,NOUN,nsubj,0,0,0,1,1,xwēš,PRON,nmod,1,1,3,3,2,0,0,1,1.0,False,False,1,0,0
